iter	Passed	Remaining
710	2389	971
711	2392	967
712	2395	964
713	2398	960
714	2401	957
715	2405	953
716	2408	950
717	2411	947
718	2414	943
719	2417	940
720	2420	936
721	2423	933
722	2426	929
723	2430	926
724	2432	922
725	2435	919
726	2438	915
727	2441	912
728	2446	909
729	2450	906
730	2453	902
731	2456	899
732	2460	896
733	2463	892
734	2466	889
735	2469	885
736	2472	882
737	2475	878
738	2478	875
739	2481	871
740	2484	868
741	2487	864
742	2490	861
743	2493	857
744	2496	854
745	2498	850
746	2501	847
747	2505	844
748	2508	840
749	2511	837
750	2514	833
751	2516	830
752	2519	826
753	2523	823
754	2527	820
755	2530	816
756	2533	813
757	2536	809
758	2539	806
759	2542	802
760	2545	799
761	2549	796
762	2557	794
763	2560	790
764	2563	787
765	2566	784
766	2570	780
767	2574	777
768	2577	774
769	2580	770
770	2583	767
771	2586	763
772	2590	760
773	2593	757
774	2595	753
775	2599	750
776	2602	746
777	2606	743
778	2609	740
779	2613	737
780	2616	733
781	2620	730
782	2623	727
783	2626	723
784	2629	720
785	2633	717
786	2649	717
787	2652	713
788	2655	710
789	2658	706
790	2662	703
791	2665	699
792	2668	696
793	2671	693
794	2674	689
795	2677	686
796	2681	682
797	2684	679
798	2688	676
799	2691	672
800	2695	669
801	2698	666
802	2702	662
803	2705	659
804	2709	656
805	2712	652
806	2716	649
807	2720	646
808	2723	643
809	2727	639
810	2732	636
811	2738	634
812	2744	631
813	2748	628
814	2752	624
815	2756	621
816	2759	618
817	2762	614
818	2766	611
819	2769	607
820	2772	604
821	2776	601
822	2779	597
823	2783	594
824	2786	591
825	2789	587
826	2792	584
827	2795	580
828	2799	577
829	2802	574
830	2805	570
831	2808	567
832	2811	563
833	2815	560
834	2818	557
835	2822	553
836	2825	550
837	2829	546
838	2832	543
839	2835	540
840	2838	536
841	2841	533
842	2845	529
843	2849	526
844	2852	523
845	2855	519
846	2858	516
847	2861	512
848	2864	509
849	2867	506
850	2870	502
851	2873	499
852	2876	495
853	2879	492
854	2883	488
855	2886	485
856	2889	482
857	2892	478
858	2895	475
859	2898	471
860	2901	468
861	2904	464
862	2906	461
863	2909	458
864	2913	454
865	2916	451
866	2918	447
867	2921	444
868	2924	440
869	2927	437
870	2931	434
871	2934	430
872	2938	427
873	2940	423
874	2945	420
875	2948	417
876	2951	413
877	2954	410
878	2957	407
879	2960	403
880	2963	400
881	2966	396
882	2969	393
883	2972	390
884	2975	386
885	2978	383
886	2981	379
887	2984	376
888	2987	372
889	2990	369
890	2993	366
891	2997	362
892	3000	359
893	3003	356
894	3006	352
895	3010	349
896	3013	345
897	3016	342
898	3019	339
899	3022	335
900	3026	332
901	3029	329
902	3032	325
903	3035	322
904	3039	319
905	3042	315
906	3045	312
907	3048	308
908	3051	305
909	3054	302
910	3057	298
911	3060	295
912	3063	291
913	3066	288
914	3068	285
915	3071	281
916	3075	278
917	3078	274
918	3081	271
919	3084	268
920	3087	264
921	3090	261
922	3093	258
923	3096	254
924	3099	251
925	3101	247
926	3105	244
927	3108	241
928	3111	237
929	3114	234
930	3117	231
931	3120	227
932	3123	224
933	3126	220
934	3129	217
935	3132	214
936	3135	210
937	3139	207
938	3142	204
939	3145	200
940	3148	197
941	3151	194
942	3154	190
943	3157	187
944	3160	183
945	3163	180
946	3166	177
947	3170	173
948	3174	170
949	3178	167
950	3181	163
951	3184	160
952	3188	157
953	3191	153
954	3194	150
955	3198	147
956	3202	143
957	3205	140
958	3208	137
959	3211	133
960	3215	130
961	3218	127
962	3221	123
963	3224	120
964	3228	117
965	3231	113
966	3235	110
967	3238	107
968	3242	103
969	3245	100
970	3250	97
971	3253	93
972	3257	90
973	3260	87
974	3264	83
975	3267	80
976	3271	77
977	3275	73
978	3278	70
979	3282	66
980	3286	63
981	3289	60
982	3293	56
983	3298	53
984	3301	50
985	3305	46
986	3308	43
987	3312	40
988	3315	36
989	3318	33
990	3322	30
991	3326	26
992	3331	23
993	3334	20
994	3337	16
995	3340	13
996	3344	10
997	3347	6
998	3351	3
999	3354	0
